id,type,montant,dateEcheance,recurrente
e6333e52-87b1-43c8-92d1-1dad9eb5c7c8,Achat fournisseur,209.0,2024-08-04 18:53:00,False
982ab4e1-0c16-4f35-897e-23f37e89260a,Achat fournisseur,378.0,2024-08-08 12:24:00,False
4f0ad588-ae5c-4570-a84c-f21528339e3f,Achat fournisseur,114.0,2024-08-05 16:45:00,False
8e9db5af-916a-462f-a01c-43d55d517db3,Achat fournisseur,114.0,2024-08-09 17:39:00,False
7668dc9b-fabb-4323-ad27-2788384415e6,Achat fournisseur,374.0,2024-08-28 16:18:00,False
7e2b3811-2f20-4c58-9516-df140da5327b,Loyer,450.0,2024-08-04 23:00:00,True
d3e5298e-5f8c-4691-bdc3-2a04f7c5ae96,Électricité,83.0,2024-08-07 23:00:00,True
4c5ef8e6-65b2-4834-9ddc-5b84ab12e171,Salaire,1200.0,2024-08-27 23:00:00,True
fdea8c2b-6fe8-4111-9393-80498b538887,Achat fournisseur,330.0,2024-09-18 08:50:00,False
cf27c84d-9d28-44fd-bbbe-a3846789b6f0,Achat fournisseur,300.0,2024-09-29 07:29:00,False
d002fc6a-ede6-458d-9e97-7cf2da2502ea,Achat fournisseur,85.0,2024-09-20 14:58:00,False
0d1ecf09-3add-410d-941d-8a90ca57f324,Achat fournisseur,130.0,2024-09-23 09:50:00,False
0887f14d-edce-4787-9a3c-092747350339,Achat fournisseur,346.0,2024-09-17 08:26:00,False
e6b20fb6-05c5-495c-9ffc-68403e05d01d,Achat fournisseur,120.0,2024-09-06 08:51:00,False
6f4d577d-5813-4f70-a73a-94ea85b285f5,Loyer,450.0,2024-09-04 23:00:00,True
91ce7102-ccc6-489c-8786-2deebb0679de,Électricité,77.0,2024-09-07 23:00:00,True
86fa7794-ab87-4470-88e7-61ab4a56d065,Salaire,1200.0,2024-09-27 23:00:00,True
23d3b780-5994-4adc-96c4-7ab9cbc86027,Achat fournisseur,300.0,2024-10-02 14:43:00,False
d1b8619a-3ac1-460d-a58d-727de5b27cd1,Achat fournisseur,222.0,2024-10-20 13:01:00,False
5609c5e9-e2fd-436d-aa02-30a8af90bc49,Achat fournisseur,418.0,2024-10-21 13:58:00,False
7972864b-61df-4147-8b7b-653dc166acab,Achat fournisseur,306.0,2024-10-29 17:02:00,False
82dc6910-9b9a-4bcb-93c6-00b857226b60,Achat fournisseur,136.0,2024-10-30 15:03:00,False
6798681a-351e-474a-bca0-7cb11c30ae2c,Achat fournisseur,210.0,2024-10-19 16:25:00,False
