id,type,statut,dateCommande,produitId,quantite,prixApplique,montant
d82b9428-4aca-4d98-8807-b11ecc66376a,ACHAT_FOURNISSEUR,RECUE,2024-08-04 18:53:00,b1d3e895-75e6-42ad-a3f8-6bd8b9d22be8,11,15.0,165.0
d82b9428-4aca-4d98-8807-b11ecc66376a,ACHAT_FOURNISSEUR,RECUE,2024-08-04 18:53:00,3d69487c-f6bf-4558-b7c5-86dfd5caedb4,11,4.0,44.0
b7e74f97-87a1-4657-86ec-561e28517ddd,ACHAT_FOURNISSEUR,RECUE,2024-08-08 12:24:00,1d4729fb-527d-4107-b1d8-d718e7f64323,21,18.0,378.0
4477dd7c-2e29-40dd-9ae9-6c1264760f9e,ACHAT_FOURNISSEUR,RECUE,2024-08-05 16:45:00,2f9f7915-0f2d-4aa0-98fa-fbff272def4e,9,6.0,54.0
4477dd7c-2e29-40dd-9ae9-6c1264760f9e,ACHAT_FOURNISSEUR,RECUE,2024-08-05 16:45:00,82c9b156-9e48-4772-b6a4-610f88eed060,10,6.0,60.0
ee794b02-ea6c-4f5a-853f-5af8217d94cb,ACHAT_FOURNISSEUR,ANNULEE,2024-08-29 11:23:00,2f9f7915-0f2d-4aa0-98fa-fbff272def4e,16,6.0,96.0
d17890ab-dc50-45ef-b978-146501046696,ACHAT_FOURNISSEUR,RECUE,2024-08-09 17:39:00,82c9b156-9e48-4772-b6a4-610f88eed060,19,6.0,114.0
70f60f4c-22c6-4351-a861-2e54db84ab48,ACHAT_FOURNISSEUR,RECUE,2024-08-28 16:18:00,05c220e2-16b4-44dc-b5fd-5c6af2a0e444,17,22.0,374.0
508541d3-89b9-4325-8b07-90b637b2c5a4,VENTE_CLIENT,ANNULEE,2024-08-19 10:52:00,82c9b156-9e48-4772-b6a4-610f88eed060,2,14.9,29.8
077171c0-cfaf-4e51-baec-51212e384f05,VENTE_CLIENT,RECUE,2024-08-04 15:03:00,3d69487c-f6bf-4558-b7c5-86dfd5caedb4,3,12.9,38.7
0eab7f2f-e8a8-4cdc-ae5a-cd28580e4f28,VENTE_CLIENT,RECUE,2024-08-29 11:05:00,2f9f7915-0f2d-4aa0-98fa-fbff272def4e,1,14.9,14.9
0f0f4234-150e-4238-aecc-db782cef3e97,VENTE_CLIENT,RECUE,2024-08-31 18:05:00,1d4729fb-527d-4107-b1d8-d718e7f64323,2,44.9,89.8
0f0f4234-150e-4238-aecc-db782cef3e97,VENTE_CLIENT,RECUE,2024-08-31 18:05:00,b1d3e895-75e6-42ad-a3f8-6bd8b9d22be8,2,39.9,79.8
041edeaa-ca33-402f-aebf-f10e42b70795,VENTE_CLIENT,RECUE,2024-08-01 08:35:00,2f9f7915-0f2d-4aa0-98fa-fbff272def4e,3,14.9,44.7
ee4d0ab5-f23b-4647-9932-c3697a283e42,VENTE_CLIENT,RECUE,2024-08-17 13:58:00,05c220e2-16b4-44dc-b5fd-5c6af2a0e444,1,54.9,54.9
ee4d0ab5-f23b-4647-9932-c3697a283e42,VENTE_CLIENT,RECUE,2024-08-17 13:58:00,1d4729fb-527d-4107-b1d8-d718e7f64323,1,44.9,44.9
6a9ddb14-3e69-4e5f-bdad-6ccfdd696d40,VENTE_CLIENT,RECUE,2024-08-26 09:56:00,b1d3e895-75e6-42ad-a3f8-6bd8b9d22be8,2,39.9,79.8
f68cbd7b-0e68-41d6-8ae5-d5af9064cdb0,VENTE_CLIENT,RECUE,2024-08-03 16:14:00,2f9f7915-0f2d-4aa0-98fa-fbff272def4e,1,14.9,14.9
33c298a3-89c9-4a21-b457-7f0bd1a581a1,VENTE_CLIENT,RECUE,2024-08-03 14:47:00,05c220e2-16b4-44dc-b5fd-5c6af2a0e444,2,54.9,109.8
744de76b-fe23-4715-9524-58359d75db2f,VENTE_CLIENT,RECUE,2024-08-28 13:33:00,b1d3e895-75e6-42ad-a3f8-6bd8b9d22be8,2,39.9,79.8
2aa30e41-9ada-436e-9179-efb471e6b254,VENTE_CLIENT,RECUE,2024-08-29 18:23:00,3d69487c-f6bf-4558-b7c5-86dfd5caedb4,3,12.9,38.7
98d9acfc-f068-4819-90e7-2cd82e9462ea,VENTE_CLIENT,RECUE,2024-08-08 10:33:00,b1d3e895-75e6-42ad-a3f8-6bd8b9d22be8,1,39.9,39.9
98d9acfc-f068-4819-90e7-2cd82e9462ea,VENTE_CLIENT,RECUE,2024-08-08 10:33:00,82c9b156-9e48-4772-b6a4-610f88eed060,2,14.9,29.8
d440486d-cc93-4ddd-9857-4f0264343ddf,VENTE_CLIENT,RECUE,2024-08-28 16:47:00,2f9f7915-0f2d-4aa0-98fa-fbff272def4e,1,14.9,14.9
68b20cdc-2194-4a49-bc20-e2b93bc2afd4,VENTE_CLIENT,RECUE,2024-08-29 15:27:00,82c9b156-9e48-4772-b6a4-610f88eed060,1,14.9,14.9
68b20cdc-2194-4a49-bc20-e2b93bc2afd4,VENTE_CLIENT,RECUE,2024-08-29 15:27:00,1d4729fb-527d-4107-b1d8-d718e7f64323,2,44.9,89.8
